Date,Open,High,Low,Close,Adj Close,Volume,MA50,MA200,Previous day close price,Change in price,Percent change in price,Previous day volume,Change in volume,Percent change in volume,RSI,Bollinger Upper Band,Bollinger Lower Band,Daily Return,Cumulative Return,20-Day Volatility,Price Volatility,EMA12,EMA26,MACD,Signal,MACD_Histogram,Daily Returns,Direction,OBV,ROC
2004-06-23,3.75,4.324999809265137,3.6875,4.300000190734863,4.300000190734863,43574400,,,,,,,,,,,,,,,,4.300000190734863,4.300000190734863,0.0,0.0,0.0,,0,0,
2004-06-24,4.387499809265137,4.422500133514404,4.125,4.190000057220459,4.190000057220459,8887200,,,4.300000190734863,-0.1100001335144043,-0.02558142526398477,43574400.0,-34687200.0,-0.7960453844459132,,,,-0.02558142526398477,0.9744185747360152,,,4.283077093271109,4.2918520326967595,-0.008774939425650885,-0.001754987885130177,-0.007019951540520708,-0.02558142526398477,-1,-8887200,
2004-06-25,4.127500057220459,4.1875,3.947499990463257,3.950000047683716,3.950000047683716,6710000,,,4.190000057220459,-0.24000000953674316,-0.05727923777069188,8887200.0,-2177200.0,-0.24498154649383386,,,,-0.05727923777069188,0.9186046215055323,,,4.231834470873048,4.2665296634365335,-0.0346951925634853,-0.008343028820801202,-0.0263521637426841,-0.05727923777069188,-1,-15597200,
2004-06-28,4.0,4.052499771118164,3.859999895095825,4.0,4.0,2270800,,,3.950000047683716,0.04999995231628418,0.012658215623466695,6710000.0,-4439200.0,-0.6615797317436662,,,,0.012658215623466695,0.9302325168772624,,,4.196167629200271,4.246786725404197,-0.050619096203925906,-0.016798242297426144,-0.03382085390649976,0.012658215623466695,1,-13326400,
2004-06-29,4.0,4.175000190734863,3.9574999809265137,4.099999904632568,4.099999904632568,2112000,,,4.0,0.09999990463256836,0.02499997615814209,2270800.0,-158800.0,-0.06993130174387885,,,,0.02499997615814209,0.9534883076207225,,,4.181372594651394,4.2359136275692615,-0.05454103291786705,-0.024346800421514325,-0.030194232496352724,0.02499997615814209,1,-11214400,
2004-06-30,4.099999904632568,4.235000133514404,4.007500171661377,4.017499923706055,4.017499923706055,2087600,,,4.099999904632568,-0.08249998092651367,-0.020121947035485865,2112000.0,-24400.0,-0.011553030303030343,,,,-0.020121947035485865,0.9343022663958233,,,4.1561614145059576,4.219734834690505,-0.06357342018454748,-0.03219212437412096,-0.03138129581042652,-0.020121947035485865,-1,-13302000,
2004-07-01,4.019999980926514,4.050000190734863,3.9749999046325684,4.007500171661377,4.007500171661377,1754800,,,4.017499923706055,-0.009999752044677734,-0.0024890484715810457,2087600.0,-332800.0,-0.15941751293351214,,,,-0.0024890484715810457,0.9319767427676561,,,4.13329045406833,4.204013748540199,-0.0707232944718692,-0.03989835839367061,-0.03082493607819859,-0.0024890484715810457,-1,-15056800,
2004-07-02,4.025000095367432,4.244999885559082,4.012499809265137,4.244999885559082,4.244999885559082,993200,,,4.007500171661377,0.23749971389770508,0.05926380629429784,1754800.0,-761600.0,-0.43400957374059723,,,,0.05926380629429784,0.9872092319218291,,,4.150476520451523,4.207049758689746,-0.056573238238223134,-0.04323333436258112,-0.01333990387564201,0.05926380629429784,1,-14063600,
2004-07-06,4.232500076293945,4.25,4.119999885559082,4.25,4.25,1216800,,,4.244999885559082,0.005000114440917969,0.001177883292277082,993200.0,223600.0,0.2251308900523561,,,,0.001177883292277082,0.9883720491820915,,,4.165787824997443,4.210231258046061,-0.04444343304861853,-0.04347535409978861,-0.0009680789488299216,0.001177883292277082,1,-12846800,
2004-07-07,4.224999904632568,4.224999904632568,4.012499809265137,4.077499866485596,4.077499866485596,1787600,,,4.25,-0.1725001335144043,-0.040588266709271625,1216800.0,570800.0,0.4690992767915845,,,,-0.040588266709271625,0.9482557408418995,,0.12387410707325051,4.152205062149466,4.200399303115656,-0.04819424096618974,-0.044419131473068835,-0.003775109493120904,-0.040588266709271625,-1,-14634400,
2004-07-08,4.077499866485596,4.077499866485596,3.9149999618530273,3.934999942779541,3.934999942779541,2179200,,,4.077499866485596,-0.1424999237060547,-0.03494786716667031,1787600.0,391600.0,0.2190646677108974,,,,-0.03494786716667031,0.9151162251709242,,0.11644888455000771,4.118788889938709,4.180740091238907,-0.06195120130019838,-0.04792554543849474,-0.014025655861703637,-0.03494786716667031,-1,-16813600,
2004-07-09,3.984999895095825,4.142499923706055,3.9749999046325684,4.099999904632568,4.099999904632568,596800,,,3.934999942779541,0.16499996185302734,0.041931375921819614,2179200.0,-1582400.0,-0.7261380323054332,,,,0.041931375921819614,0.9534883076207227,,0.1100697056023863,4.115898276814687,4.174759336675475,-0.05886105986078771,-0.05011264832295334,-0.008748411537834372,0.041931375921819614,1,-16216800,
