Date,Open,High,Low,Close,Adj Close,Volume,MA50,MA200,Previous day close price,Change in price,Percent change in price,Previous day volume,Change in volume,Percent change in volume,RSI,Bollinger Upper Band,Bollinger Lower Band,Daily Return,Cumulative Return,20-Day Volatility,Price Volatility,EMA12,EMA26,MACD,Signal,MACD_Histogram,Daily Returns,Direction,OBV,ROC
2008-03-19,14.875,17.25,13.75,14.125,12.702873229980469,708486000,,,,,,,,,,,,,,,,12.702873229980469,12.702873229980469,0.0,0.0,0.0,,0,0,
2008-03-20,14.600000381469727,16.25,14.375,16.087499618530273,14.467785835266113,198985200,,,14.125,1.9624996185302734,0.13893802609063877,708486000.0,-509500800.0,-0.7191402511835097,,,,0.13893806332887082,1.1389380633288708,,,12.97439824617826,12.833607497038663,0.14079074913959744,0.02815814982791949,0.11263259931167795,0.13893806332887082,1,198985200,
2008-03-24,16.809999465942383,16.924999237060547,14.75,14.932499885559082,13.429072380065918,149566400,,,16.087499618530273,-1.1549997329711914,-0.0717948568987572,198985200.0,-49418800.0,-0.24835414895178132,,,,-0.07179491506352464,1.0571681018095593,,,13.044348112930207,12.877716006892534,0.16663210603767276,0.05585294106987015,0.1107791649678026,-0.07179491506352464,-1,49418800,
2008-03-25,15.145000457763672,16.0625,14.954999923706055,15.8125,14.220468521118164,87092000,,,14.932499885559082,0.880000114440918,0.0589318681523614,149566400.0,-62474400.0,-0.4177034414146493,,,,0.058931556748997194,1.119468663794579,,,13.225289714189891,12.977179156094433,0.24811055809545834,0.09430446447498779,0.15380609362047054,0.058931556748997194,1,136510800,
2008-03-26,15.682499885559082,16.1200008392334,15.392499923706055,15.989999771118164,14.380098342895508,43111600,,,15.8125,0.17749977111816406,0.011225281967947032,87092000.0,-43980400.0,-0.5049878289624765,,,,0.011225356009915144,1.132035098087617,,,13.402952580144602,13.081099095857475,0.3218534842871268,0.1398142684374156,0.1820392158497112,0.011225356009915144,1,179622400,
2008-03-27,16.012500762939453,16.184999465942383,15.662500381469727,15.727499961853027,14.144034385681152,39829600,,,15.989999771118164,-0.2624998092651367,-0.016416498625551945,43111600.0,-3282000.0,-0.0761280026721346,,,,-0.016416018276466326,1.1134515892278094,,,13.516965165611762,13.159835043251821,0.35713012235994057,0.1832774392219206,0.17385268313801996,-0.016416018276466326,-1,139792800,
2008-03-28,15.842499732971191,15.859999656677246,15.539999961853027,15.6899995803833,14.110304832458496,24675200,,,15.727499961853027,-0.03750038146972656,-0.0023843828682679202,39829600.0,-15154400.0,-0.3804808484142447,,,,-0.002384719402040103,1.1107963196197455,,,13.60824819128049,13.230240212822686,0.3780079784578039,0.22222354706909728,0.1557844313887066,-0.002384719402040103,-1,115117600,
2008-03-31,15.649999618530273,15.869999885559082,15.512499809265137,15.59000015258789,14.020378112792969,22157200,,,15.6899995803833,-0.09999942779541016,-0.006373449998076208,24675200.0,-2518000.0,-0.102045778757619,,,,-0.006373123807975056,1.1037170771493658,,,13.671652794590102,13.288768946153818,0.3828838484362844,0.2543556073425347,0.12852824109374972,-0.006373123807975056,-1,92960400,
2008-04-01,15.765000343322754,15.920000076293945,15.077500343322754,15.40250015258789,13.851749420166016,60410800,,,15.59000015258789,-0.1875,-0.012026940228661576,22157200.0,38253600.0,1.7264636325889553,,,,-0.012027399779830916,1.0904422306186639,,,13.699359967755626,13.330471203488054,0.368888764267572,0.2772622387275422,0.09162652554002981,-0.012027399779830916,-1,32549600,
2008-04-02,15.430000305175781,15.579999923706055,15.125,15.579999923706055,14.011384010314941,43836400,,,15.40250015258789,0.17749977111816406,0.011524088255784992,60410800.0,-16574400.0,-0.27436153800313856,,,,0.011524507504916404,1.1030090402891064,,0.5198324948283712,13.747363666610905,13.380909189178936,0.3664544774319687,0.2951006864684275,0.07135379096354116,0.011524507504916404,1,76386000,
2008-04-03,15.487500190734863,16.572500228881836,15.454999923706055,16.375,14.726340293884277,100868000,,,15.579999923706055,0.7950000762939453,0.05102696278478769,43836400.0,57031600.0,1.3010101194441148,,,,0.0510268138424439,1.1592920772544713,,0.35519471726835,13.897975455422193,13.480570752490443,0.4174047029317496,0.31956148976109194,0.09784321317065764,0.0510268138424439,1,177254000,
2008-04-04,16.225000381469727,16.329999923706055,15.9375,16.1200008392334,14.497015953063965,36394400,,,16.375,-0.25499916076660156,-0.015572467833074866,100868000.0,-64473600.0,-0.6391878494666297,,,,-0.015572391798901242,1.1412391268181026,,0.35833339139870674,13.990135531982466,13.555862989569963,0.43427254241250246,0.34250370029137406,0.0917688421211284,-0.015572391798901242,-1,140859600,
