Date,Open,High,Low,Close,Adj Close,Volume,MA50,MA200,Previous day close price,Change in price,Percent change in price,Previous day volume,Change in volume,Percent change in volume,RSI,Bollinger Upper Band,Bollinger Lower Band,Daily Return,Cumulative Return,20-Day Volatility,Price Volatility,EMA12,EMA26,MACD,Signal,MACD_Histogram,Daily Returns,Direction,OBV,ROC
1999-05-04,76.0,77.25,70.0,70.375,51.73982620239258,22320900,,,,,,,,,,,,,,,,51.73982620239258,51.73982620239258,0.0,0.0,0.0,,0,0,
1999-05-05,69.875,69.875,66.25,69.125,50.82083511352539,7565700,,,70.375,-1.25,-0.017761989342806372,22320900.0,-14755200.0,-0.6610486136311708,,,,-0.017761773788577018,0.982238226211423,,,51.59844295795148,51.671752788402415,-0.07330983045093831,-0.014661966090187661,-0.058647864360750646,-0.017761773788577018,-1,-7565700,
1999-05-06,68.0,69.375,67.0625,67.9375,49.94779586791992,2905700,,,69.125,-1.1875,-0.01717902350813738,7565700.0,-4660000.0,-0.6159377189156323,,,,-0.01717876622167347,0.9653645853493458,,,51.34449725179278,51.544052275774085,-0.1995550239813042,-0.05164057766841097,-0.14791444631289324,-0.01717876622167347,-1,-10471400,
1999-05-07,67.9375,74.875,66.75,74.125,54.49686050415039,4862300,,,67.9375,6.1875,0.09107635694572225,2905700.0,1956600.0,0.6733661424097463,,,,0.09107638399619966,1.053286501020955,,,51.82947621369395,51.76277881120937,0.06669740248457856,-0.027972981637813067,0.09467038412239162,0.09107638399619966,1,-5609100,
1999-05-10,73.375,73.5,70.25,70.6875,51.9695930480957,2589400,,,74.125,-3.4375,-0.04637436762225966,4862300.0,-2272900.0,-0.46745367418711314,,,,-0.0463745513535081,1.0044408120894017,,,51.85103264975576,51.77809838431206,0.07293426544369908,-0.007791532221510638,0.08072579766520971,-0.0463745513535081,-1,-8198500,
1999-05-11,70.0,71.1875,69.5,70.625,51.92363739013672,1839800,,,70.6875,-0.0625,-0.0008841732979664174,2589400.0,-749600.0,-0.2894879122576659,,,,-0.0008842797348144193,1.0035526054344506,,,51.86220260981437,51.788879051410184,0.07332355840418359,0.008431485903628206,0.06489207250055538,-0.0008842797348144193,-1,-10038300,
1999-05-12,71.0,74.875,69.125,73.5,54.037357330322266,2659300,,,70.625,2.875,0.04070796460176984,1839800.0,819500.0,0.4454288509620612,,,,0.04070824091740266,1.0444054666697633,,,52.19684179758482,51.95543299799626,0.2414087995885552,0.05502694864061361,0.1863818509479416,0.04070824091740266,1,-7379000,
1999-05-13,73.25,75.25,72.5,73.1875,53.80760192871094,1142900,,,73.5,-0.3125,-0.004251700680272141,2659300.0,-1516400.0,-0.5702252472455157,,,,-0.004251788262088163,1.039964875765716,,,52.4446510485273,52.09263069656772,0.35202035195958103,0.1144256293044071,0.23759472265517395,-0.004251788262088163,-1,-8521900,
1999-05-14,71.25,72.25,69.0625,70.1875,51.60198211669922,2058400,,,73.1875,-3.0,-0.040990606319385114,1142900.0,915500.0,0.801032461282702,,,,-0.0409908587811425,0.9973358224058552,,,52.3150096743999,52.0562863573182,0.25872331708170293,0.14328516685986628,0.11543815022183665,-0.0409908587811425,-1,-10580300,
1999-05-17,69.125,70.25,68.0,68.625,50.453250885009766,2075000,,,70.1875,-1.5625,-0.022261798753339224,2058400.0,16600.0,0.008064516129032251,,,,-0.022261378043416435,0.9751337526270368,,1.556921189254584,52.02858524526296,51.937542988999056,0.09104225626390416,0.13283658474067386,-0.0417943284767697,-0.022261378043416435,-1,-12655300,
1999-05-18,68.25,70.4375,68.125,68.625,50.453250885009766,1407100,,,68.625,0.0,0.0,2075000.0,-667900.0,-0.3218795180722892,,,,0.0,0.9751337526270368,,1.6391317164331438,51.78622611291631,51.82759542574059,-0.0413693128242798,0.09799540522768313,-0.13936471805196293,0.0,1,-11248200,
1999-05-19,69.375,69.8125,68.75,69.3125,50.958702087402344,727400,,,68.625,0.6875,0.010018214936247771,1407100.0,-679700.0,-0.4830502451851325,,,,0.010018208807685669,0.9849028461762765,,1.6291169081067005,51.6589147243757,51.763232956234056,-0.10431823185835754,0.057532677810475,-0.16185090966883253,0.010018208807685669,1,-10520800,
1999-05-20,69.5625,70.125,68.375,68.375,50.26945114135742,520800,,,69.3125,-0.9375,-0.01352569882777277,727400.0,-206600.0,-0.2840252955732747,,,,-0.013525677024951444,0.9715813683779408,,1.5875075590788723,51.445151096219035,51.65258245142838,-0.2074313552093443,0.004539871206511142,-0.21197122641585545,-0.013525677024951444,-1,-11041600,-0.028419182948490218
1999-05-21,68.125,68.8125,67.5,67.5,49.62614440917969,936200,,,68.375,-0.875,-0.012797074954296161,520800.0,415400.0,0.7976190476190477,43.57549516975708,,,-0.012797170400145386,0.9591478760492019,,1.4788333278498953,51.1653039135976,51.502475929780324,-0.33717201618272696,-0.06380250627133649,-0.2733695099113905,-0.012797170400145386,-1,-11977800,-0.023508137432188048
1999-05-24,67.0,67.25,65.0,65.3125,48.01788330078125,1493000,,,67.5,-2.1875,-0.03240740740740744,936200.0,556800.0,0.5947447126682333,39.69471292727675,,,-0.03240753694540388,0.9280642558200317,,1.8289448074980765,50.68108535777969,51.244357957261876,-0.5632725994821826,-0.16369652491350573,-0.39957607456867683,-0.03240753694540388,-1,-13470800,-0.03863845446182157
1999-05-25,64.125,65.9375,64.0,64.5,47.4205207824707,1662400,,,65.3125,-0.8125,-0.012440191387559807,1493000.0,169400.0,0.1134628265237776,40.41451378959703,,,-0.012440417553783112,0.9165187489608896,,2.1362522528037613,50.17946003850139,50.9611107591292,-0.7816507206278089,-0.28728736405636635,-0.4943633565714426,-0.012440417553783112,-1,-15133200,-0.1298482293423272
1999-05-26,65.625,66.625,63.0625,66.0625,48.56929016113281,1602900,,,64.5,1.5625,0.02422480620155043,1662400.0,-59500.0,-0.03579162656400381,46.17347819392855,,,0.024225153155356338,0.9387215560242227,,1.8588280977197567,49.9317415958293,50.78393886298132,-0.8521972671520217,-0.40026934467549746,-0.45192792247652425,0.024225153155356338,1,-13530300,-0.06542882404951367
1999-05-27,65.0,67.75,64.6875,67.75,49.809932708740234,1220500,,,66.0625,1.6875,0.02554399243140959,1602900.0,-382400.0,-0.23856759623182977,34.062507296495866,,,0.025543765278254638,0.9627000391129434,,1.3324683557015737,49.91300176704637,50.71179025896346,-0.7987884919170938,-0.4799731741238168,-0.318815317793277,0.025543765278254638,1,-12309800,-0.04070796460176995
1999-05-28,67.75,68.8125,67.0,67.9375,49.94779586791992,901900,,,67.75,0.1875,0.002767527675276771,1220500.0,-318600.0,-0.26104055714870955,41.791115976534456,,,0.0027677844896083492,0.9653645853493455,,1.1647206017127243,49.9183547056423,50.65519808184912,-0.7368433762068207,-0.5313472145404177,-0.20549616166640305,0.0027677844896083492,1,-11407900,-0.07568027210884354
1999-06-01,66.625,66.625,63.5625,64.1875,47.1907844543457,953900,,,67.9375,-3.75,-0.05519779208831643,901900.0,52000.0,0.05765605943009211,34.25085474175718,54.716834372988785,46.58941524554149,-0.05519785939833577,0.9120785266990996,,1.3296592569913015,49.498728513135134,50.3985748501822,-0.899846337047066,-0.6050470390417474,-0.29479929800531857,-0.05519785939833577,-1,-12361800,-0.12297181895815545
1999-06-02,63.75,64.0625,62.0,63.25,46.50153732299805,2204300,,,64.1875,-0.9375,-0.014605647517039966,953900.0,1250400.0,1.310829227382325,22.29737158294003,54.818946354572795,45.96347437601802,-0.014605545114734442,0.8987571226292154,0.03292983202035499,1.5007353812630118,49.037622176190965,50.10990540372411,-1.0722832275331484,-0.6984942767400276,-0.3737889507931208,-0.014605545114734442,-1,-14566100,-0.09884238646482635
1999-06-03,64.0,64.1875,63.125,63.625,46.77720260620117,852600,,,63.25,0.375,0.005928853754940677,2204300.0,-1351700.0,-0.6132105430295332,24.24230480999863,54.89472394382421,45.48333353603419,0.005928089673430836,0.9040850354467961,0.03286569770038263,1.4225970716385428,48.68986531926946,49.863038529833524,-1.173173210564066,-0.7934300635048352,-0.37974314705923073,0.005928089673430836,1,-13713500,-0.07285974499089254
1999-06-04,64.3125,67.0,64.3125,65.375,48.0638427734375,1357400,,,63.625,1.75,0.027504911591355707,852600.0,504800.0,0.592071311283134,36.101182573273206,54.89532893334185,45.29433323706831,0.027505709951662682,0.9289525362034343,0.03341065954961401,1.2650564491801524,48.59355415837223,49.72976477010049,-1.1362106117282593,-0.8619861731495201,-0.27422443857873924,0.027505709951662682,1,-12356100,-0.04735883424408016
1999-06-07,65.1875,67.75,65.1875,65.9375,48.47739791870117,891900,,,65.375,0.5625,0.008604206500955947,1357400.0,-465500.0,-0.3429350228377781,41.76249244568848,54.16816652936942,45.41954938249581,0.008604287992807436,0.9369455113565776,0.0255647704406602,1.1689104130764467,48.5756839676536,49.63699685518202,-1.0613128875284161,-0.9018515160252993,-0.1594613715031168,0.008604287992807436,1,-11464200,-0.048692515779982015
1999-06-08,65.375,65.6875,63.75,63.75,46.869136810302734,571700,,,65.9375,-2.1875,-0.033175355450236976,891900.0,-320200.0,-0.3590088574952349,36.82435767702446,53.973356930425844,45.1043133576601,-0.03317548336846721,0.9058618911274074,0.02460708089406171,1.2302692794703953,48.313138251138085,49.43197018519096,-1.1188319340528778,-0.9452475996308151,-0.17358433442206278,-0.03317548336846721,-1,-12035900,-0.06764168190127973
1999-06-09,64.25,65.5,63.625,65.5,48.15571975708008,611400,,,63.75,1.75,0.027450980392156765,571700.0,39700.0,0.06944201504285474,40.255525805215285,53.67721119043487,45.02366733434541,0.02745053641556572,0.9307282859572735,0.025642055953307208,1.2161525930056314,48.28892002128301,49.337433116442014,-1.0485130951590023,-0.9659006987364526,-0.0826123964225497,0.02745053641556572,1,-11424500,-0.029629629629629672
1999-06-10,64.875,64.9375,63.3125,63.375,46.593441009521484,664200,,,65.5,-2.125,-0.03244274809160308,611400.0,52800.0,0.08635917566241402,37.95181144670683,52.86581559192558,45.090671300774616,-0.032442226083203796,0.9005333884822149,0.024188462184889077,1.2788218372211055,48.02807709639662,49.13417444185531,-1.1060973454586858,-0.9939400280808993,-0.11215731737778645,-0.032442226083203796,-1,-12088700,-0.02966507177033495
1999-06-11,63.9375,64.3125,62.3125,63.25,46.50153732299805,969300,,,63.375,-0.125,-0.0019723865877712132,664200.0,305100.0,0.45934959349593485,39.37500794510007,51.919400320566886,45.30648011156202,-0.0019724597396585386,0.8987571226292154,0.02420796290423924,1.131666770390923,47.79322482356607,48.93916428490292,-1.1459394613368517,-1.02433991473209,-0.12159954660476169,-0.0019724597396585386,-1,-13058000,-0.019379844961240345
1999-06-14,63.5,64.0,60.5,61.25,45.0311164855957,821100,,,63.25,-2.0,-0.031620553359683834,969300.0,-148200.0,-0.152893840916125,39.74761440723352,51.64567797172559,44.92311589729296,-0.031620908082863,0.8703376062657385,0.023598273911904846,1.015951887540964,47.36828507926294,48.64967926273202,-1.2813941834690823,-1.0757507684794885,-0.20564341498959382,-0.031620908082863,-1,-13879100,-0.07284768211920534
1999-06-15,62.875,63.375,62.25,62.75,46.13393020629883,831700,,,61.25,1.5,0.02448979591836742,821100.0,10600.0,0.012909511630739168,45.73175423392486,51.397861123275,44.73900067787246,0.024490037262475672,0.8916522066741204,0.024263090229174396,1.050163499194204,47.178384329576154,48.46332748077401,-1.284943151197858,-1.1175892450231624,-0.1673539061746956,0.024490037262475672,1,-13047400,-0.07380073800738007
1999-06-16,63.9375,65.4375,63.9375,65.25,47.97193145751953,690300,,,62.75,2.5,0.03984063745019917,831700.0,-141400.0,-0.17001322592280865,48.10493312311727,51.07883710390444,44.809892754493994,0.039840552127287765,0.9271761228935318,0.02618399727237585,1.0887715438514465,47.300468503105904,48.42692777534776,-1.1264592722418527,-1.1193632504669004,-0.007096021774952277,0.039840552127287765,1,-12357100,-0.03955841766329349
1999-06-17,64.5,66.875,64.5,65.0,47.78813552856445,955700,,,65.25,-0.25,-0.003831417624521105,690300.0,265400.0,0.3844705200637404,43.125028537509706,50.58071555065948,44.99095765185517,-0.003831322262224046,0.9236238123728873,0.02602678801875481,1.1066376779098508,47.3754941993303,48.379609831141586,-1.0041156318112883,-1.096313726735778,0.09219809492448983,-0.003831322262224046,-1,-13312800,0.012658227848101333
1999-06-18,64.25,64.875,63.5,64.8125,47.65028381347656,613900,,,65.0,-0.1875,-0.0028846153846153744,955700.0,-341800.0,-0.3576436120121377,42.18747446215184,50.193462014246876,45.11629445547969,-0.002884643093168826,0.9209594873218395,0.025906260957344905,1.076363404071913,47.41776952458357,48.32558568168492,-0.907816157101351,-1.0586142128088927,0.15079805570754168,-0.002884643093168826,-1,-13926700,0.024703557312252933
1999-06-21,66.6875,69.9375,66.5625,69.5,51.09654235839844,1811000,,,64.8125,4.6875,0.07232401157184176,613900.0,1197100.0,1.9499918553510343,62.686571232796936,50.57396695812603,44.8828293065224,0.07232398779432225,0.9875669500419695,0.030656415655219777,1.6236354575703065,47.9837345759397,48.53084173181185,-0.5471071558721476,-0.9563128014215436,0.409205645549396,0.07232398779432225,1,-12115700,0.09233791748526521
1999-06-22,70.125,70.125,67.75,68.0,49.993743896484375,1165900,,,69.5,-1.5,-0.021582733812949617,1811000.0,-645100.0,-0.3562120375483159,61.046513171310906,50.84694307733061,44.80743924688814,-0.021582643580437932,0.9662526445473935,0.030109413865155588,1.8050924273127231,48.29296677910042,48.63920485512092,-0.34623807602050505,-0.834297856341336,0.48805978032083097,-0.021582643580437932,-1,-13281600,0.040152963671128195
1999-06-23,67.0625,67.4375,64.875,65.0,47.78813552856445,1351700,,,68.0,-3.0,-0.044117647058823484,1165900.0,185800.0,0.15936186636932836,52.849822392865775,50.8593707001864,44.83177309864172,-0.044117687454790167,0.923623812372887,0.031723624447384115,1.798321941715762,48.21530043286412,48.576162682783405,-0.36086224991928617,-0.7396107350569261,0.3787484851376399,-0.044117687454790167,-1,-14633300,-0.014218009478673022
1999-06-24,66.0625,66.5,64.5,65.0625,47.834068298339844,1408900,,,65.0,0.0625,0.0009615384615384581,1351700.0,57200.0,0.042317082192794286,49.30354754385868,50.8033147861442,44.81430682640463,0.000961175180143492,0.9245115766571294,0.03124479924800016,1.7593305847188498,48.156649335245,48.52119272838018,-0.3645433931351789,-0.6645972666725767,0.30005387353739776,0.000961175180143492,1,-13224400,0.020588235294117574
1999-06-25,65.5,66.8125,65.375,66.25,48.707130432128906,1111500,,,65.0625,1.1875,0.018251681075888593,1408900.0,-297400.0,-0.21108666335438997,50.67745440122066,50.63135936821045,44.87598201667725,0.01825188960185864,0.9413856598899155,0.03096867273000426,1.7191891421225551,48.241338734765606,48.53496589162082,-0.2936271568552158,-0.5904032447091045,0.29677608785388876,0.01825188960185864,1,-12112900,0.011450381679389388
1999-06-28,66.4375,67.5,65.75,66.5625,48.93687057495117,784600,,,66.25,0.3125,0.004716981132075526,1111500.0,-326900.0,-0.29410706252811514,56.63711634581712,50.451132920980285,44.95511593461053,0.00471676612405636,0.9458259558801567,0.030983107370672367,1.3801110703355237,48.348343633255695,48.56473660890455,-0.2163929756488585,-0.5156011908970554,0.29920821524819685,0.00471676612405636,1,-11328300,0.050295857988165604
1999-06-29,66.0,68.5,66.0,67.75,49.809932708740234,629800,,,66.5625,1.1875,0.017840375586854362,784600.0,-154800.0,-0.19729798623502426,55.454577930017095,50.72519409156337,44.94296958946691,0.017840579577966587,0.962700039112943,0.02840201348295531,1.1886897547411288,48.57320349102255,48.65697335704053,-0.08376986601798109,-0.4292349259212405,0.34546505990325943,0.017840579577966587,1,-10698500,0.07114624505928857
1999-06-30,68.5,72.25,66.125,72.25,53.11833953857422,2127600,,,67.75,4.5,0.06642066420664205,629800.0,1497800.0,2.378215306446491,69.29340941827505,51.82585708288317,44.50398681970473,0.06642062435979668,1.0266431767820254,0.031369741862010025,1.7784598633393323,49.27245519064588,48.987444926043025,0.28501026460285317,-0.28638588781642177,0.571396152419275,0.06642062435979668,1,-8570900,0.1795918367346938
